Date,Close,High,Low,Open,Volume
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
11/09/2017,320.884002685546,329.451995849609,307.055999755859,308.644989013671,893249984
11/10/2017,299.252990722656,324.717987060546,294.5419921875,320.670989990234,885985984
11/11/2017,314.680999755859,319.453002929687,298.191986083984,298.585998535156,842300992
11/12/2017,307.907989501953,319.153015136718,298.513000488281,314.690002441406,1613479936
11/13/2017,316.716003417968,328.415008544921,307.024993896484,307.024993896484,1041889984
11/14/2017,337.63101196289,340.177001953125,316.763000488281,316.763000488281,1069680000
11/15/2017,333.356994628906,340.911987304687,329.81298828125,337.963989257812,722665984
11/16/2017,330.924011230468,336.158996582031,323.605987548828,333.442993164062,797254016
11/17/2017,332.394012451171,334.963989257812,327.523010253906,330.1669921875,621732992
11/18/2017,347.611999511718,349.615997314453,327.68701171875,331.980010986328,649638976
11/19/2017,354.385986328125,371.290985107421,344.739990234375,347.401000976562,1181529984
11/20/2017,366.730010986328,372.136993408203,353.289001464843,354.093994140625,807027008
11/21/2017,360.401000976562,372.470001220703,350.692993164062,367.442993164062,949912000
11/22/2017,380.65200805664,381.420013427734,360.147003173828,360.31201171875,800819008
11/23/2017,410.165985107421,425.54800415039,376.088012695312,381.438995361328,1845680000
11/24/2017,474.911010742187,480.972991943359,402.757995605468,412.501007080078,2292829952
11/25/2017,466.276000976562,485.191986083984,461.053009033203,475.675994873046,1422080000
11/26/2017,471.329986572265,472.722991943359,451.605987548828,465.973999023437,1197779968
11/27/2017,480.355010986328,493.404998779296,468.484985351562,471.531005859375,1396480000
11/28/2017,472.90200805664,482.480010986328,466.346984863281,480.518005371093,1346499968
11/29/2017,427.523010253906,522.307006835937,425.071014404296,473.281005859375,2675940096
11/30/2017,447.114013671875,465.497009277343,401.243011474609,431.21499633789,1903040000
12/01/2017,466.540008544921,472.609008789062,428.31201171875,445.209014892578,1247879936
12/02/2017,463.449005126953,476.239013671875,456.653015136718,466.851013183593,943649984
12/03/2017,465.852996826171,482.813995361328,451.851989746093,463.704986572265,990556992
12/04/2017,470.204010009765,474.77700805664,453.31201171875,466.053985595703,1005550016
12/05/2017,463.281005859375,473.558013916015,457.660003662109,470.294006347656,1216720000
12/06/2017,428.588012695312,462.7080078125,420.209991455078,462.60400390625,1998259968
12/07/2017,434.407989501953,441.397003173828,414.411010742187,426.368988037109,2129570048
12/08/2017,456.031005859375,466.06201171875,422.367004394531,434.989013671875,2336379904
12/09/2017,473.502014160156,504.147003173828,456.252990722656,457.343994140625,2003849984
12/10/2017,441.721008300781,472.789001464843,429.514007568359,472.789001464843,1404179968
12/11/2017,515.135986328125,516.968994140625,439.10400390625,440.358001708984,1771440000
12/12/2017,651.431030273437,657.317993164062,504.493988037109,522.286010742187,5179829760
12/13/2017,702.767028808593,747.992980957031,597.797973632812,644.906005859375,4524539904
12/14/2017,695.815979003906,753.120971679687,664.989013671875,700.593994140625,3821580032
12/15/2017,684.447998046875,697.132019042968,621.060974121093,696.3759765625,2758710016
12/16/2017,696.208984375,718.385009765625,680.786010742187,686.192016601562,2165690112
12/17/2017,719.974975585937,735.825012207031,696.236999511718,696.236999511718,2147389952
12/18/2017,794.64501953125,803.927978515625,689.231018066406,721.731994628906,3249230080
12/19/2017,826.822998046875,881.943969726562,785.341979980468,793.901000976562,4096549888
12/20/2017,819.085998535156,845.06201171875,756.004028320312,827.515991210937,3969939968
12/21/2017,821.06298828125,880.543029785156,792.689025878906,820.236022949218,3569060096
12/22/2017,674.859985351562,827.682983398437,543.762023925781,822.643005371093,4977710080
12/23/2017,719.387023925781,763.89501953125,679.731018066406,681.315979003906,2480339968
12/24/2017,694.148010253906,721.768981933593,614.921997070312,721.768981933593,2300549888
12/25/2017,765.833984375,782.52099609375,698.869995117187,698.869995117187,2491760128
12/26/2017,773.835998535156,786.789978027343,760.934997558593,763.369995117187,2201159936
12/27/2017,762.841979980468,789.252990722656,738.413024902343,774.969970703125,2100029952
12/28/2017,737.023010253906,763.318969726562,701.18701171875,762.2080078125,2389149952
12/29/2017,753.591979980468,770.117004394531,729.607971191406,740.388977050781,2648969984
12/30/2017,717.257019042968,753.815002441406,685.231018066406,753.815002441406,3187780096
12/31/2017,756.732971191406,760.348022460937,710.119018554687,712.211975097656,2554269952
01/01/2018,772.640991210937,782.530029296875,742.004028320312,755.757019042968,2595760128
01/02/2018,884.443969726562,914.830017089843,772.346008300781,772.346008300781,5783349760
01/03/2018,962.719970703125,974.471008300781,868.450988769531,886,5093159936
01/04/2018,980.921997070312,1045.07995605468,946.085998535156,961.713012695312,6502859776
01/05/2018,997.719970703125,1075.39001464843,956.325012207031,975.75,6683149824
01/06/2018,1041.68005371093,1060.7099609375,994.622009277343,995.153991699218,4662219776
01/07/2018,1153.17004394531,1153.17004394531,1043.01000976562,1043.01000976562,5569880064
01/08/2018,1148.53002929687,1266.93005371093,1016.04998779296,1158.26000976562,8450970112
01/09/2018,1299.73999023437,1320.97998046875,1145.48999023437,1146,7965459968
01/10/2018,1255.81994628906,1417.38000488281,1226.59997558593,1300.33996582031,9214950400
01/11/2018,1154.93005371093,1337.30004882812,1135.17004394531,1268.08996582031,7235899904
01/12/2018,1273.19995117187,1296.0400390625,1120.08996582031,1158.2900390625,5222300160
01/13/2018,1396.42004394531,1432.88000488281,1270.46997070312,1270.46997070312,5746760192
01/14/2018,1366.77001953125,1400.56005859375,1286.2099609375,1397.47998046875,4841630208
01/15/2018,1291.92004394531,1390.58996582031,1290.59997558593,1365.2099609375,4781100032
01/16/2018,1053.68994140625,1292.63000488281,875.544982910156,1292.63000488281,8405139968
01/17/2018,1014.25,1090.22998046875,780.921997070312,1061.33996582031,8545160192
01/18/2018,1036.28002929687,1100.31005859375,967.758972167968,1016.4400024414,5938319872
01/19/2018,1039.09997558593,1093.21997070312,1003.71002197265,1028.81994628906,4084450048
01/20/2018,1155.15002441406,1167.10998535156,1044.94995117187,1044.94995117187,3975190016
01/21/2018,1049.57995605468,1155.68005371093,1021.5,1155.68005371093,3378089984
01/22/2018,1003.26000976562,1089.09997558593,930.741027832031,1055.34997558593,3810099968
01/23/2018,986.22900390625,1023.22998046875,920.539978027343,1004.16998291015,3556699904
01/24/2018,1058.78002929687,1062.43994140625,965.807983398437,987.476989746093,3944039936
01/25/2018,1056.03002929687,1104.66003417968,1034.73999023437,1063.21997070312,4050190080
01/26/2018,1055.17004394531,1080.59997558593,996.783996582031,1052.69995117187,3617690112
01/27/2018,1107.06994628906,1121.97998046875,1042.11999511718,1055.75,3002870016
