Date,BTC_Close,BTC_High,BTC_Low,BTC_Open,BTC_Volume,ETH_Close,ETH_High,ETH_Low,ETH_Open,ETH_Volume,BTC_Normalized,ETH_Normalized,BTC_Return,ETH_Return,BTC_Volatility,ETH_Volatility
2017-12-09,15178.2001953125,16783,13674.900390625,16523.30078125,13911300096,473.502014160156,504.147003173828,456.252990722656,457.343994140625,2003849984,2.12473298112679,1.47561738882997,-0.0876974436103222,0.0375953638787581,0.0689403803260357,0.0481683816059765
2017-12-10,15455.400390625,15850.599609375,13226.599609375,15168.400390625,13433299968,441.721008300781,472.789001464844,429.514007568359,472.789001464844,1404179968,2.16353708107121,1.37657534998293,0.0180982813856827,-0.0694776865413681,0.0662481260325218,0.0481498874430766
2017-12-11,16936.80078125,17513.900390625,15404.7998046875,15427.400390625,12153900032,515.135986328125,516.968994140625,439.10400390625,440.358001708984,1771440000,2.37091214713386,1.60536512265131,0.0915303333847472,0.1537524370851,0.0659194527239451,0.0542355616352181
2017-12-12,17415.400390625,17781.80078125,16571.599609375,16919.80078125,14603799552,651.431030273438,657.317993164063,504.493988037109,522.286010742188,5179829760,2.43790931160053,2.03011376329599,0.027866079189228,0.234740611057606,0.0632347990519421,0.0667759982839883
2017-12-13,16408.19921875,17653.099609375,16039.7001953125,17500,12976900096,702.767028808594,747.992980957031,597.797973632813,644.906005859375,4524539904,2.29691541766222,2.19009680422516,-0.0595737324307736,0.0758539131780659,0.0644407170541319,0.0674189560914493
2017-12-14,16564,17085.80078125,16185.900390625,16384.599609375,13777399808,695.815979003906,753.120971679688,664.989013671875,700.593994140625,3821580032,2.31872531963659,2.16843461556349,0.00945050342490667,-0.00994021377440085,0.0644633018678546,0.0673558862917859
2017-12-15,17706.900390625,18154.099609375,16601.30078125,16601.30078125,14309999616,684.447998046875,697.132019042969,621.060974121094,696.3759765625,2758710016,2.47871518160017,2.13300754265898,0.0667227505013749,-0.0164725562627464,0.0635981601569895,0.0674297049371647
2017-12-16,19497.400390625,19716.69921875,17515.30078125,17760.30078125,12740599808,696.208984375,718.385009765625,680.786010742188,686.192016601563,2165690112,2.72935981362199,2.16965937394285,0.0963267271967154,0.0170372090410726,0.0642813790898678,0.0671859470801499
2017-12-17,19140.80078125,20089,18974.099609375,19475.80078125,13314599936,719.974975585938,735.825012207031,696.236999511719,696.236999511719,2147389952,2.67944092064745,2.24372349372456,-0.0184589201309559,0.0335665751049067,0.0642163293786576,0.0670920037542696
2017-12-18,19114.19921875,19371,18355.900390625,19106.400390625,14839499776,794.64501953125,803.927978515625,689.231018066406,721.731994628906,3249230080,2.67571707879097,2.47642454245365,-0.00139074979938285,0.0986790433478947,0.0643790536019263,0.0683291994617993
2017-12-19,17776.69921875,19177.80078125,17275.400390625,19118.30078125,16894499840,826.822998046875,881.943969726563,785.341979980469,793.901000976563,4096549888,2.48848602862109,2.57670370329158,-0.0725429063392123,0.0396951445290035,0.0670393368769248,0.0683456373714784
2017-12-20,16624.599609375,17934.69921875,16077.7001953125,17760.30078125,22149699584,819.085998535156,845.06201171875,756.004028320313,827.515991210938,3969939968,2.32720840636793,2.55259218808058,-0.0670050645065745,-0.0094015604954164,0.0691768444834198,0.0686771763754833
2017-12-21,15802.900390625,17567.69921875,15342.7001953125,16642.400390625,16516599808,821.06298828125,880.543029785156,792.689025878906,820.236022949219,3569060096,2.2121821576574,2.55875326102142,-0.0506900103921979,0.00241074526699237,0.0701458505185094,0.068331847555767
2017-12-22,13831.7998046875,15943.400390625,11833,15898,22197999616,674.859985351563,827.682983398438,543.762023925781,822.643005371094,4977710080,1.93625600237101,2.10312754672565,-0.133223217282161,-0.196094587676584,0.0756816262265517,0.0793380624484051
2017-12-23,14699.2001953125,15603.2001953125,13828.7998046875,13948.7001953125,13086000128,719.387023925781,763.89501953125,679.731018066406,681.315979003906,2480339968,2.05767976764539,2.24189120649542,0.0608228088914256,0.0638942534950739,0.0756245453574371,0.0791016293096389
2017-12-24,13925.7998046875,14626,12747.7001953125,14608.2001953125,11572299776,694.148010253906,721.768981933594,614.921997070313,721.768981933594,2300549888,1.94941467056987,2.16323657285634,-0.0540498630560895,-0.0357142847154609,0.0768112128551138,0.0758785179650039
2017-12-25,14026.599609375,14593,13448.900390625,13995.900390625,10664699904,765.833984375,782.52099609375,698.869995117188,698.869995117188,2491760128,1.96352521508468,2.38663809340937,0.00721227828320252,0.0982802066432317,0.0763427008226074,0.0772114469574455
2017-12-26,16099.7998046875,16461.19921875,14028.900390625,14036.599609375,13454300160,773.835998535156,786.789978027344,760.934997558594,763.369995117188,2201159936,2.25374386912637,2.41157549787075,0.137851338372183,0.0103945472705939,0.0791832012881403,0.0772124723508925
2017-12-27,15838.5,16930.900390625,15114.2998046875,16163.5,12487600128,762.841979980469,789.252990722656,738.413024902344,774.969970703125,2100029952,2.21716559859117,2.37731383801025,-0.016363152489107,-0.0143090566694877,0.0791762747371509,0.0774149568852417
2017-12-28,14606.5,15888.400390625,13937.2998046875,15864.099609375,12336499712,737.023010253906,763.318969726563,701.18701171875,762.2080078125,2389149952,2.04470305368703,2.2968518345745,-0.0809770498133538,-0.0344317930579298,0.0811030836168782,0.0777502571473457
2017-12-29,14656.2001953125,15279,14307,14695.7998046875,13025500160,753.591979980469,770.117004394531,729.607971191406,740.388977050781,2648969984,2.05166037687358,2.34848722177951,0.00339683233395767,0.0222319677157144,0.0809323187651658,0.0746204912475936
2017-12-30,12952.2001953125,14681.900390625,12350.099609375,14681.900390625,14452599808,717.257019042969,753.815002441406,685.231018066406,753.815002441406,3187780096,1.81312451931135,2.23525327856824,-0.123597794486912,-0.0494168400674279,0.0845601989672438,0.0754703627350798
2017-12-31,14156.400390625,14377.400390625,12755.599609375,12897.7001953125,12136299520,756.732971191406,760.348022460938,710.119018554688,712.211975097656,2554269952,1.98169548542958,2.35827577834403,0.0889011732809524,0.0535762042318649,0.0851078950534248,0.0756322734874813
2018-01-01,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000,772.640991210938,782.530029296875,742.004028320313,755.757019042969,2595760128,1.91181453080276,2.4078513878677,-0.0358999768524143,0.020804059919353,0.0854924335999426,0.0755132613226195
2018-01-02,14982.099609375,15444.599609375,13163.599609375,13625,16846600192,884.443969726563,914.830017089844,772.346008300781,772.346008300781,5783349760,2.09728167746772,2.75627317761079,0.0925892597121414,0.135144659747876,0.0868790051894972,0.0784792653936858
2018-01-03,15201,15572.7998046875,14844.5,14978.2001953125,16871900160,962.719970703125,974.471008300781,868.450988769531,886,5093159936,2.12792463075319,3.00021179817603,0.0145050860549691,0.0848034162799437,0.0868055724576409,0.0792853640952309
2018-01-04,15599.2001953125,15739.7001953125,14522.2001953125,15270.7001953125,21783199744,980.921997070312,1045.07995605469,946.085998535156,961.713012695313,6502859776,2.18366701635784,3.0569364283067,0.0258584282480317,0.0187303616735031,0.0868284996159129,0.0789562830201984
2018-01-05,17429.5,17705.19921875,15202.7998046875,15477.2001953125,23840899072,997.719970703125,1075.39001464844,956.325012207031,975.75,6683149824,2.4398830571484,3.10928548121126,0.110944529537295,0.0169797037465715,0.0828428338826691,0.0765589241354239
2018-01-06,17527,17712.400390625,16764.599609375,17462.099609375,18314600448,1041.68005371094,1060.7099609375,994.622009277344,995.153991699219,4662219776,2.45353167575891,3.2462822857883,0.00557837614383005,0.0431174785215517,0.071841860179137,0.0765541604250626
2018-01-07,16477.599609375,17579.599609375,16087.7001953125,17527.30078125,15866000384,1153.17004394531,1153.17004394531,1043.01000976563,1043.01000976563,5569880064,2.30663048907823,3.59372868168617,-0.061740689989334,0.101679863983661,0.0713268530993847,0.077625195447455
2018-01-08,15170.099609375,16537.900390625,14208.2001953125,16476.19921875,18413899776,1148.53002929688,1266.93005371094,1016.04998779297,1158.26000976563,8450970112,2.12359901386543,3.57926858205639,-0.0826754995548452,-0.00403182064239129,0.0711199800293161,0.0778734759902532
2018-01-09,14595.400390625,15497.5,14424,15123.7001953125,16659999744,1299.73999023438,1320.97998046875,1145.48999023438,1146,7965459968,2.04314926563487,4.05049793494401,-0.0386199222066563,0.123681347609858,0.0713752095076873,0.0773884068169083
2018-01-10,14973.2998046875,14973.2998046875,13691.2001953125,14588.5,18500800512,1255.81994628906,1417.38000488281,1226.59997558594,1300.33996582031,9214950400,2.09604982948796,3.91362590773874,0.0255621646355242,-0.034375534046982,0.0693857210510338,0.075104024991141
2018-01-11,13405.7998046875,15018.7998046875,13105.900390625,14968.2001953125,16534099968,1154.93005371094,1337.30004882813,1135.17004394531,1268.08996582031,7235899904,1.87662203798045,3.59921356018088,-0.110581167413623,-0.083748920321997,0.0717496666376052,0.0672176194264154
2018-01-12,13980.599609375,14229.900390625,13158.099609375,13453.900390625,12065699840,1273.19995117188,1296.0400390625,1120.08996582031,1158.2900390625,5222300160,1.95708586681715,3.96778879755984,0.0419831918370207,0.0974935954927661,0.071663437482695,0.0679598069716524
2018-01-13,14360.2001953125,14659.5,13952.400390625,13952.400390625,12763599872,1396.42004394531,1432.88000488281,1270.46997070313,1270.46997070313,5746760192,2.01022457063037,4.35179077878104,0.0267898783015258,0.0923784720847535,0.0718564768652663,0.0689752364184491
2018-01-14,13772,14511.7998046875,13268,14370.7998046875,11084099584,1366.77001953125,1400.56005859375,1286.2099609375,1397.47998046875,4841630208,1.92788487696421,4.25938971121171,-0.0418229592243742,-0.0214615439297882,0.070858916100657,0.0690801682179691
